,Enregy,Sample,Fit,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050
0,29149.9617271983,0.004720790203331004,0.005714434677210947,4.0714274535036235e-05,0.005673720402675911
1,29150.27490923,0.005428692342431766,0.005848275654047147,2.5060983373382982e-05,0.005823214670673764
2,29150.535899429,0.006188555204922447,0.0066522582358794205,2.799815330066627e-05,0.0066242600825787545
3,29150.7968943305,0.006735250473651294,0.008409768090924754,4.119657212456559e-05,0.008368571518800189
4,29151.1100944197,0.007550364807567954,0.00817457139235091,2.5355535858505386e-05,0.008149215856492406
5,29151.423301281,0.0067203858078465845,0.006577567789253068,2.0330933158801384e-05,0.006557236856094266
6,29151.6843121719,0.005969739533941804,0.007077604288675057,2.7548483458201588e-05,0.007050055805216855
7,29151.9453277658,0.007319996856966959,0.006013787381873266,2.1514216272468556e-05,0.005992273165600797
8,29152.2585526868,0.006608256664844377,0.005462078381483559,3.194497583730545e-05,0.005430133405646253
9,29152.5195786279,0.007599346753756154,0.004890070703089174,4.10573025651299e-05,0.004849013400524045
10,29152.7806092724,0.007167162753289375,0.006560423072936076,3.152525938781557e-05,0.0065288978135482605
11,29153.0938522547,0.00953372533331487,0.006004128649094891,3.666568014242458e-05,0.005967462968952466
12,29153.3548932473,0.0080276109965073,0.006564815687599313,4.80364246934019e-05,0.006516779262905912
13,29153.6159389437,0.008427437851670778,0.007698432830977145,4.3955198956497987e-05,0.0076544776320206466
14,29153.9291999888,0.00940353494739471,0.007360381456799296,4.043704297612351e-05,0.007319944413823173
15,29154.1902560341,0.009284359001085957,0.005863363617810323,5.4009188142280405e-05,0.0058093544296680425
16,29154.4513167838,0.007645912239865262,0.0077387317779420385,6.14563352940885e-05,0.00767727544264795
17,29154.7645958932,0.010126025508150215,0.006924878468864805,6.01502370468674e-05,0.006864728231817938
18,29155.0778817772,0.009893346341452239,0.006859619632987587,4.769077274729713e-05,0.00681192886024029
19,29155.3389585223,0.00877997651173543,0.007076383080432859,4.467877584425588e-05,0.007031704304588602
20,29155.6000399722,0.010467798233945258,0.009592279470774807,6.294445120298592e-05,0.009529335019571821
21,29155.9133439227,0.010762750850379678,0.00784324630039047,6.25433481494673e-05,0.007780702952241002
22,29156.2266546485,0.009451563448096247,0.009165519040256127,5.206754646223286e-05,0.009113451493793895
23,29156.4877520958,0.008495904927654712,0.008114192280259768,6.050127892169449e-05,0.008053691001338074
24,29156.8010752437,0.009782691772487225,0.009891412545429683,4.882516528346713e-05,0.009842587380146216
25,29157.062183043,0.009922986209952545,0.009467118898795597,5.670544254260253e-05,0.009410413456252995
26,29157.323295548,0.010869406291507731,0.008745401060580117,6.777368278883718e-05,0.00867762737779128
27,29157.6366367656,0.009293410806733631,0.010546313992791127,5.292526713266983e-05,0.010493388725658456
28,29157.8977596234,0.010896649078356243,0.011578710729817716,4.474269031656025e-05,0.011533968039501156
29,29158.1588871874,0.011616289734358203,0.010970845452397513,5.299968917698405e-05,0.010917845763220529
30,29158.4200194575,0.011404036635472731,0.01089047082343568,6.36923597878737e-05,0.010826778463647806
31,29158.733384394,0.009426588300025044,0.010283054953527285,6.135266762655601e-05,0.01022170228590073
32,29158.9945270182,0.010008899233932566,0.011065816131009168,5.7870805129305626e-05,0.011007945325879863
33,29159.255674349,0.01070254773540107,0.011237698162909725,5.450780829872798e-05,0.011183190354610996
34,29159.5168263865,0.013189321617774013,0.012789930291322202,6.753833950049524e-05,0.012722391951821706
35,29159.8302150446,0.012251618594372174,0.014457100963963439,6.282367458872957e-05,0.014394277289374709
36,29160.0913774374,0.01318242706112058,0.013864410524275596,6.741187264759193e-05,0.013796998651628005
37,29160.3525445373,0.014043550189762843,0.013695053445574635,6.334937166177981e-05,0.013631704073912855
38,29160.6659512708,0.01435897022375209,0.01287098527663461,6.708262789777504e-05,0.012803902648736836
39,29160.9271287269,0.012720667832300811,0.01429254715647757,7.029384223430782e-05,0.014222253314243262
40,29161.1883108905,0.01393163272504734,0.01488293382400524,8.034384888408851e-05,0.014802589975121152
41,29161.4494977618,0.014448075431149331,0.015328601404059653,8.395432745412934e-05,0.015244647076605524
42,29161.7629282216,0.014765997172228157,0.013818317427157369,8.335258564636393e-05,0.013734964841511006
43,29162.0763654608,0.01502547840502309,0.016344633734420827,8.007280045157503e-05,0.016264560933969253
44,29162.3375683391,0.015081974674196221,0.014361145827970745,9.366731652537066e-05,0.014267478511445374
45,29162.5987759256,0.015299314460353437,0.014438283077284366,9.385584302148651e-05,0.01434442723426288
46,29162.8599882205,0.014832213096432916,0.01580024624855253,8.804708946685124e-05,0.01571219915908568
47,29163.1734491896,0.016046951049709466,0.019551081867678767,9.480255569392117e-05,0.019456279311984848
48,29163.4346718433,0.015530281801492352,0.01835669002464614,9.644840264674416e-05,0.018260241621999396
49,29163.6958992057,0.015923037044625023,0.01782564584743288,9.270104637285672e-05,0.01773294480106002
50,29164.0093782564,0.01510177090717259,0.01749447817394207,8.51611631899416e-05,0.01740931701075213
51,29164.2706159786,0.01771532038069622,0.016369156839252077,8.930778371755951e-05,0.016279849055534517
52,29164.5318584099,0.01749431533800911,0.016442856292339894,0.00010572850510743963,0.016337127787232456
53,29164.7931055506,0.018152594255428957,0.017160413185018833,0.00011056444747529557,0.017049848737543536
54,29165.0543574006,0.01677034483032222,0.01736037269036241,0.00011073322172896727,0.01724963946863344
55,29165.3156139602,0.017011664607969986,0.017875207035744023,0.00010966698675989061,0.017765540048984133
