,Enregy,Sample,Fit,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0031,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050
0,29149.8573346925,0.0040999494608228845,0.005839206788483821,0.002078133952402785,0.0037610728360810363,0.0
1,29150.1183173677,0.006517538463369961,0.005690443680980057,0.001987794520473538,0.0037026491605065184,0.0
2,29150.4315027851,0.0062127299241827244,0.0058584152299406885,0.0011901813436846283,0.00466823388625606,0.0
3,29150.6924958056,0.005980674397129903,0.006389784260659637,0.0020812745688369313,0.004308509691822706,0.0
4,29150.9534935286,0.006215561289061015,0.004877438484693379,0.0020252233568165256,0.0028522151278768527,0.0
5,29151.2666970039,0.006403320523782468,0.006376896199492233,0.0009546086120616403,0.0054222875874305925,0.0
6,29151.527705073,0.007584970991197149,0.005908301401688944,0.0013124327120014562,0.004595868689687487,0.0
7,29151.7887178451,0.0067367673944912455,0.006104528739193269,0.0014468313024841822,0.004657697436709087,0.0
8,29152.1019393797,0.009016198861535393,0.004907594793122272,0.0011943102176713866,0.003713284575450885,0.0
9,29152.3629624988,0.00563380093447071,0.006854031066373013,0.002080306504138622,0.004773724562234391,0.0
10,29152.6761964502,0.006217422711304611,0.006378153382847343,0.0019710324812946193,0.0044071209015527244,0.0
11,29152.9372299169,0.006752429013379664,0.007046410684653791,0.00156306515697452,0.005483345527679271,0.0
12,29153.2504762858,0.006910910515302849,0.007298192460962203,0.0024752578103076537,0.004822934650654549,0.0
13,29153.5115201007,0.0052691822015977045,0.006726442120577519,0.0025408637750140507,0.004185578345563468,0.0
14,29153.7725686195,0.0065324448322304,0.007346183439777231,0.0021636595252524557,0.005182523914524775,0.0
15,29154.0858330515,0.006190523023141289,0.007776045553848105,0.002557364182649339,0.0052186813711987655,0.0
16,29154.3468919194,0.0053623789901340296,0.008543688214944254,0.003329488859063184,0.00521419935588107,0.0
17,29154.6079554917,0.00611054258938671,0.006847656341502839,0.0032021043458645587,0.00364555199563828,0.0
18,29154.9212379884,0.009068076030947112,0.008277074165364698,0.0031540037954232466,0.005123070369941452,0.0
19,29155.1823119106,0.006402599353580024,0.007032082054452415,0.0022835365919954423,0.004748545462456973,0.0
20,29155.4433905377,0.005750846151731618,0.008824927525516425,0.0027865140460204946,0.006038413479495931,0.0
21,29155.7566911006,0.006053036132954571,0.009137861930796016,0.003738203501697877,0.005399658429098138,0.0
22,29156.0699984387,0.0077759477805598816,0.008027339227229702,0.0028338700892848513,0.00519346913794485,0.0
23,29156.3310930628,0.008236108965388718,0.008454278224665459,0.003018105253028652,0.005436172971636808,0.0
24,29156.6444128228,0.009684503613822334,0.009858512428711906,0.003184819120828298,0.006673693307883607,0.0
25,29156.9055177987,0.010100769309806072,0.008930109562673526,0.002497297028501907,0.006432812534171619,0.0
26,29157.1666274803,0.007377086957328504,0.009807747240764244,0.0035736559930274795,0.006234091247736764,0.0
27,29157.4799653097,0.00898790684885631,0.012067006696112418,0.0032070792308356417,0.008859927465276776,0.0
28,29157.741085344,0.009743636317646794,0.009720923777005553,0.0026931227420719916,0.007027801034933561,0.0
29,29158.0022100843,0.009860512133965256,0.009189630451728976,0.0024051126799605554,0.00678451777176842,0.0
30,29158.3155659847,0.00890601858672452,0.012123685923801798,0.0034360486744919793,0.008687637249309817,0.0
31,29158.5767010786,0.011430922800461657,0.010972687323528851,0.003228526448457416,0.007744160875071436,0.0
32,29158.8378408789,0.010656129168150895,0.010308770120220025,0.00345492795259862,0.006853842167621405,0.0
33,29159.0989853857,0.0129616242256015,0.01002628178395743,0.0028027229998000857,0.007223558784157345,0.0
34,29159.4123650067,0.012163952953343911,0.01198500441626462,0.0035544662987690673,0.008430538117495553,0.0
35,29159.6735198683,0.013584647776839808,0.011379721251723242,0.0033711577763839507,0.008008563475339292,0.0
36,29159.9346794369,0.01137966669526643,0.012074042388522879,0.003608488782520979,0.0084655536060019,0.0
37,29160.2480771325,0.013401651773873141,0.013406081252919913,0.0034639162213643666,0.009942165031555546,0.0
38,29160.5614816065,0.011860974302160937,0.011342644738109739,0.003614619436426764,0.007728025301682975,0.0
39,29160.8226571796,0.012042690233452372,0.012278858824813752,0.0036669285049123904,0.008611930319901361,0.0
40,29161.0838374601,0.011392209215983507,0.014243852363496665,0.004176244050629502,0.010067608312867163,0.0
41,29161.3450224483,0.012466528855078006,0.014913620297676088,0.004473340258344599,0.01044028003933149,0.0
42,29161.6584506484,0.014092244962685472,0.014243126214255455,0.004651322550569715,0.009591803663685741,0.0
43,29161.9196459938,0.013920307755937963,0.014567683379876175,0.004219877861080558,0.010347805518795617,0.0
44,29162.2330866228,0.015253550124234752,0.015008754439196333,0.004815506338196251,0.010193248101000082,0.0
45,29162.494292326,0.014892683235153855,0.014548134446142263,0.005195835513558016,0.009352298932584246,0.0
46,29162.7555027376,0.014768135988574736,0.014658514939220334,0.004822207156062635,0.0098363077831577,0.0
47,29163.0167178575,0.015507192028501536,0.014847737908072955,0.004945203445997189,0.009902534462075766,0.0
48,29163.277937686,0.017546790337434937,0.01512355243128809,0.005211227048909215,0.009912325382378876,0.0
49,29163.5914076957,0.015795112621479025,0.015676058181592314,0.005139982939040327,0.010536075242551986,0.0
50,29163.8526378835,0.015872513953985527,0.0150482076771409,0.004807888242273764,0.010240319434867137,0.0
51,29164.1661203246,0.01577078745021659,0.014897525527304549,0.004613569139426139,0.01028395638787841,0.0
