# Scan Name:	20210614_SnO2_H2_TPR
# Run Number:	3
# Session Id:	366
# Trajectory Name:	Sn_EXAFS_92.tra
# First Scan Create Date:	6/14/2021 4:33:52 PM
# This Scan Create Date:	6/14/2021 4:37:23 PM
# Encoder Resolution:	87466.6666666667
# Encoder Offset:	21.1068268887761
# Lattice Spacing:	1.9202
# Analog In 1 Offset:	-2151695974.4
# Analog In 2 Offset:	-2151147110.4
# Analog In 3 Offset:	-2152253030.4
# Analog In 4 Offset:	-2151748403.2
# Analog In 5 Offset:	-2763794022.4
# Analog In 6 Offset:	-2764287180.8
# Analog In 7 Offset:	-2763074764.8
# Analog In 8 Offset:	-2763220582.4
# Encoder	Energy	ADC_01	ADC_02	ADC_03	ADC_04	ADC_05	ADC_06	ADC_07	ADC_08
-1287172	29004.5453057106	184629322.6	474391027.6	544848504.6	-13070.1999998093	-26747.4000000954	92311.1999998093	-14292.8000001907	53033.5999999046
-1287174	29004.648653569	184853230.6	474930557.6	545664088.6	-12498.1999998093	-29538.4000000954	91607.1999998093	-16073.8000001907	50838.5999999046
-1287180	29004.9587015907	184884628.6	474725607.6	545302365.6	-6373.19999980927	-32486.4000000954	88211.1999998093	-18190.8000001907	48516.5999999046
-1287184	29005.1654039776	184730763.6	474321013.6	545229073.6	-5548.19999980927	-29014.4000000954	91326.1999998093	-14590.8000001907	52087.5999999046
-1287189	29005.4237861301	184645966.6	474469775.6	544800310.6	-82038.1999998093	-30173.4000000954	89916.1999998093	-17302.8000001907	50311.5999999046
-1287195	29005.7338508278	184713340.6	474094908.6	545085525.6	38563.8000001907	-29220.4000000954	91269.1999998093	-15926.8000001907	51097.5999999046
-1287199	29005.9405643323	184741216.6	474559582.6	545199519.6	-63326.1999998093	-30408.4000000954	90259.1999998093	-16132.8000001907	49635.5999999046
-1287205	29006.250640148	184854666.6	474764229.6	545654475.6	-10868.1999998093	-30403.4000000954	90882.1999998093	-15501.8000001907	49101.5999999046
-1287210	29006.5090417572	184725487.6	474692339.6	544970892.6	-7757.19999980927	-30294.4000000954	90510.1999998093	-14596.8000001907	49302.5999999046
-1287215	29006.7674479992	184547919.6	474148730.6	544969496.6	-51110.1999998093	-32769.4000000954	89008.1999998093	-18747.8000001907	47204.5999999046
-1287220	29007.0258588741	184660009.6	474083609.6	544965145.6	-72156.1999998093	-24795.4000000954	95301.1999998093	-11761.8000001907	55362.5999999046
-1287225	29007.2842743822	184585965.6	474184126.6	545056064.6	-44646.1999998093	-32465.4000000954	88585.1999998093	-18016.8000001907	48098.5999999046
-1287230	29007.5426945234	184779993.6	474971491.6	545264669.6	-93779.1999998093	-29028.4000000954	91165.1999998093	-13399.8000001907	51960.5999999046
