# Scan Name:	20210614_SnO2_H2_TPR
# Run Number:	33
# Session Id:	396
# Trajectory Name:	Sn_EXAFS_92.tra
# First Scan Create Date:	6/14/2021 4:33:52 PM
# This Scan Create Date:	6/14/2021 5:30:23 PM
# Encoder Resolution:	87466.6666666667
# Encoder Offset:	21.1068268887761
# Lattice Spacing:	1.9202
# Analog In 1 Offset:	-2151695974.4
# Analog In 2 Offset:	-2151147110.4
# Analog In 3 Offset:	-2152253030.4
# Analog In 4 Offset:	-2151748403.2
# Analog In 5 Offset:	-2763794022.4
# Analog In 6 Offset:	-2764287180.8
# Analog In 7 Offset:	-2763074764.8
# Analog In 8 Offset:	-2763220582.4
# Encoder	Energy	ADC_01	ADC_02	ADC_03	ADC_04	ADC_05	ADC_06	ADC_07	ADC_08
-1287173	29004.5969795472	186491887.6	477504002.6	549121331.6	43925.8000001907	-65752.4000000954	57497.1999998093	-48248.8000001907	17036.5999999046
-1287176	29004.7520021685	186605160.6	477908062.6	549048835.6	29065.8000001907	-67943.4000000954	54875.1999998093	-50388.8000001907	16244.5999999046
-1287181	29005.0103769095	186542883.6	477457487.6	548916197.6	54800.8000001907	-65949.4000000954	56018.1999998093	-48893.8000001907	17766.5999999046
-1287186	29005.2687562827	186259720.6	477265221.6	548779289.6	34116.8000001907	-66283.4000000954	55809.1999998093	-47871.8000001907	17511.5999999046
-1287191	29005.5271402882	186543258.6	477331838.6	549337973.6	101258.800000191	-65817.4000000954	57015.1999998093	-47529.8000001907	18489.5999999046
-1287196	29005.785528926	186489319.6	477148017.6	548635653.6	99455.8000001907	-66894.4000000954	56618.1999998093	-48789.8000001907	18307.5999999046
-1287201	29006.0439221963	186411892.6	478073110.6	549091769.6	-14527.1999998093	-63412.4000000954	60564.1999998093	-46505.8000001907	20248.5999999046
-1287206	29006.3023200993	186522399.6	478037358.6	549224424.6	-14920.1999998093	-66949.4000000954	60130.1999998093	-47397.8000001907	19338.5999999046
-1287211	29006.5607226349	186475004.6	477274795.6	549114556.6	32948.8000001907	-64630.4000000954	60530.1999998093	-45585.8000001907	19442.5999999046
-1287216	29006.8191298035	186683125.6	477660378.6	549648111.6	73737.8000001907	-64692.4000000954	58032.1999998093	-49151.8000001907	16569.5999999046
-1287221	29007.0775416051	186545107.6	477556862.6	549327394.6	5363.80000019073	-62800.4000000954	59086.1999998093	-47697.8000001907	18802.5999999046
-1287226	29007.3359580397	186504892.6	477168033.6	549202268.6	44263.8000001907	-66108.4000000954	58237.1999998093	-47481.8000001907	17564.5999999046
-1287231	29007.5943791077	186605303.6	477339530.6	549901079.6	19334.8000001907	-60016.4000000954	63521.1999998093	-42576.8000001907	24060.5999999046
-1287237	29007.9044905052	186410866.6	477721572.6	549493102.6	43773.8000001907	-63090.4000000954	60297.1999998093	-45065.8000001907	19056.5999999046
-1287242	29008.1629217667	186652134.6	478255038.6	549892249.6	39924.8000001907	-66195.4000000954	55695.1999998093	-49668.8000001907	15193.5999999046
-1287247	29008.4213576619	186724088.6	478200106.6	549443963.6	-8176.19999980927	-66363.4000000954	57414.1999998093	-48112.8000001907	16404.5999999046
-1287252	29008.6797981908	186693272.6	478486226.6	550190797.6	142398.800000191	-63445.4000000954	59759.1999998093	-46170.8000001907	19705.5999999046
