# Scan Name:	20210614_SnO2_H2_TPR
# Run Number:	29
# Session Id:	392
# Trajectory Name:	Sn_EXAFS_92.tra
# First Scan Create Date:	6/14/2021 4:33:52 PM
# This Scan Create Date:	6/14/2021 5:23:20 PM
# Encoder Resolution:	87466.6666666667
# Encoder Offset:	21.1068268887761
# Lattice Spacing:	1.9202
# Analog In 1 Offset:	-2151695974.4
# Analog In 2 Offset:	-2151147110.4
# Analog In 3 Offset:	-2152253030.4
# Analog In 4 Offset:	-2151748403.2
# Analog In 5 Offset:	-2763794022.4
# Analog In 6 Offset:	-2764287180.8
# Analog In 7 Offset:	-2763074764.8
# Analog In 8 Offset:	-2763220582.4
# Encoder	Energy	ADC_01	ADC_02	ADC_03	ADC_04	ADC_05	ADC_06	ADC_07	ADC_08
-1287173	29004.5969795472	185015767.6	475056215.6	545600639.6	-103371.199999809	-67747.4000000954	55803.1999998093	-45453.8000001907	14848.5999999046
-1287175	29004.7003277761	184925255.6	475114080.6	545883884.6	-35634.1999998093	-67636.4000000954	56418.1999998093	-46054.8000001907	15758.5999999046
-1287180	29004.9587015907	184860565.6	474957060.6	545396990.6	-55927.1999998093	-65221.4000000954	59290.1999998093	-43945.8000001907	17752.5999999046
-1287185	29005.2170800375	185030834.6	475062631.6	546161180.6	-99649.1999998093	-65169.4000000954	59101.1999998093	-42826.8000001907	17869.5999999046
-1287190	29005.4754631165	184667468.6	474588844.6	545000882.6	-60724.1999998093	-64888.4000000954	59343.1999998093	-42328.8000001907	19345.5999999046
-1287195	29005.7338508278	184918336.6	474950915.6	545332785.6	-23778.1999998093	-62933.4000000954	61737.1999998093	-40827.8000001907	22963.5999999046
-1287200	29005.9922431716	184878604.6	474954674.6	545071301.6	-101412.199999809	-61141.4000000954	64955.1999998093	-38118.8000001907	23954.5999999046
-1287205	29006.250640148	184867478.6	474146111.6	545627199.6	-30308.1999998093	-63850.4000000954	60449.1999998093	-42410.8000001907	19189.5999999046
-1287210	29006.5090417572	184887077.6	474529816.6	545750751.6	-95729.1999998093	-58989.4000000954	65423.1999998093	-38280.8000001907	23354.5999999046
-1287214	29006.7157663801	184698456.6	474249885.6	545382812.6	-84600.1999998093	-63976.4000000954	60416.1999998093	-42895.8000001907	18817.5999999046
