# Scan Name:	20210614_SnO2_H2_TPR
# Run Number:	16
# Session Id:	379
# Trajectory Name:	Sn_EXAFS_92.tra
# First Scan Create Date:	6/14/2021 4:33:52 PM
# This Scan Create Date:	6/14/2021 5:00:20 PM
# Encoder Resolution:	87466.6666666667
# Encoder Offset:	21.1068268887761
# Lattice Spacing:	1.9202
# Analog In 1 Offset:	-2151695974.4
# Analog In 2 Offset:	-2151147110.4
# Analog In 3 Offset:	-2152253030.4
# Analog In 4 Offset:	-2151748403.2
# Analog In 5 Offset:	-2763794022.4
# Analog In 6 Offset:	-2764287180.8
# Analog In 7 Offset:	-2763074764.8
# Analog In 8 Offset:	-2763220582.4
# Encoder	Energy	ADC_01	ADC_02	ADC_03	ADC_04	ADC_05	ADC_06	ADC_07	ADC_08
-1287173	29004.5969795472	186473377.6	480135662.6	551326189.6	-26894.1999998093	-61229.4000000954	66541.1999998093	-40576.8000001907	22499.5999999046
-1287177	29004.8036767461	186350830.6	479842564.6	550974476.6	-14818.1999998093	-64085.4000000954	65839.1999998093	-41614.8000001907	21435.5999999046
-1287182	29005.0620524136	186211678.6	479413740.6	550795255.6	-10953.1999998093	-63376.4000000954	67435.1999998093	-40330.8000001907	21780.5999999046
-1287186	29005.2687562827	186140002.6	479752457.6	550319676.6	-27252.1999998093	-66025.4000000954	64467.1999998093	-43568.8000001907	18878.5999999046
-1287191	29005.5271402882	186149540.6	479314604.6	550191309.6	-21598.1999998093	-63781.4000000954	68123.1999998093	-40569.8000001907	22120.5999999046
-1287196	29005.785528926	186199270.6	479493975.6	550779189.6	-27304.1999998093	-63280.4000000954	68469.1999998093	-39486.8000001907	22291.5999999046
-1287201	29006.0439221963	186431189.6	479602583.6	551507713.6	-16249.1999998093	-62881.4000000954	68898.1999998093	-40243.8000001907	23081.5999999046
-1287207	29006.3540002358	186431806.6	479625492.6	551041252.6	-3565.19999980927	-64217.4000000954	68521.1999998093	-40815.8000001907	21446.5999999046
-1287211	29006.5607226349	186564626.6	480005792.6	551776751.6	-76796.1999998093	-62359.4000000954	70423.1999998093	-38641.8000001907	25476.5999999046
-1287216	29006.8191298035	186532950.6	479215154.6	551417291.6	-11270.1999998093	-60896.4000000954	71637.1999998093	-37322.8000001907	26301.5999999046
-1287222	29007.1292245213	186502464.6	480225440.6	551149439.6	-102906.199999809	-66494.4000000954	64276.1999998093	-43283.8000001907	19208.5999999046
-1287227	29007.3876418827	186572697.6	480540769.6	551243767.6	-21750.1999998093	-65968.4000000954	64328.1999998093	-42980.8000001907	20902.5999999046
-1287232	29007.6460638773	186236187.6	479920545.6	551056138.6	46107.8000001907	-68971.4000000954	62217.1999998093	-46792.8000001907	17595.5999999046
-1287237	29007.9044905052	186316544.6	479963271.6	551517762.6	-65275.1999998093	-66148.4000000954	63469.1999998093	-44643.8000001907	19114.5999999046
-1287243	29008.2146085751	186449354.6	479949761.6	551381571.6	59904.8000001907	-69751.4000000954	60288.1999998093	-47675.8000001907	17219.5999999046
-1287247	29008.4213576619	186400407.6	480463394.6	550809578.6	-64701.1999998093	-72465.4000000954	57125.1999998093	-51430.8000001907	13695.5999999046
-1287253	29008.7314868526	186372327.6	479356662.6	550761845.6	68373.8000001907	-66451.4000000954	63988.1999998093	-43953.8000001907	20849.5999999046
-1287258	29008.9899329422	186559469.6	480371017.6	551774523.6	-80110.1999998093	-68939.4000000954	62127.1999998093	-46275.8000001907	18629.5999999046
-1287263	29009.2483836658	186333407.6	479326575.6	551194304.6	3078.80000019073	-74121.4000000954	57255.1999998093	-50835.8000001907	12282.5999999046
-1287269	29009.5585306513	186760242.6	480716088.6	551766003.6	-9333.19999980927	-64642.4000000954	65997.1999998093	-41909.8000001907	22028.5999999046
-1287274	29009.8169915703	186752666.6	480270299.6	551677109.6	-101200.199999809	-72565.4000000954	58090.1999998093	-50915.8000001907	12360.5999999046
-1287279	29010.0754571237	186993059.6	480048729.6	551974059.6	71280.8000001907	-65529.4000000954	65845.1999998093	-42187.8000001907	20754.5999999046
-1287285	29010.3856219054	186972276.6	481227307.6	551884378.6	-29568.1999998093	-73131.4000000954	58115.1999998093	-49893.8000001907	13062.5999999046
-1287290	29010.644097655	187030270.6	481908582.6	552107945.6	12064.8000001907	-65612.4000000954	64596.1999998093	-42440.8000001907	19353.5999999046
-1287295	29010.9025780394	186627524.6	480966973.6	551652531.6	-70125.1999998093	-63764.4000000954	66181.1999998093	-42178.8000001907	21847.5999999046
-1287301	29011.2127606189	186935466.6	481050820.6	553342937.6	-87247.1999998093	-64757.4000000954	64807.1999998093	-44006.8000001907	20619.5999999046
-1287306	29011.4712512004	186793316.6	480843610.6	552544347.6	-8168.19999980927	-60100.4000000954	69389.1999998093	-39612.8000001907	24307.5999999046
-1287312	29011.7814460167	186816744.6	481479729.6	552220168.6	-43102.1999998093	-64346.4000000954	66748.1999998093	-41246.8000001907	21372.5999999046
-1287317	29012.0399467959	187119621.6	481260096.6	552415273.6	-77202.1999998093	-61497.4000000954	68350.1999998093	-38816.8000001907	23972.5999999046
-1287322	29012.2984522106	187198871.6	482051675.6	552132998.6	32164.8000001907	-68584.4000000954	60068.1999998093	-46801.8000001907	15340.5999999046
-1287327	29012.556962261	187193187.6	482189695.6	552541684.6	-16143.1999998093	-62542.4000000954	65688.1999998093	-42430.8000001907	22192.5999999046
-1287333	29012.8671804406	186904969.6	480871319.6	551807044.6	-197441.199999809	-62760.4000000954	65830.1999998093	-42537.8000001907	23203.5999999046
-1287339	29013.1774052959	187027787.6	481425819.6	552526934.6	28172.8000001907	-61625.4000000954	67400.1999998093	-41725.8000001907	23507.5999999046
-1287344	29013.4359311083	187104107.6	481478270.6	552850333.6	65074.8000001907	-49994.4000000954	80183.1999998093	-30762.8000001907	34613.5999999046
-1287349	29013.6944615569	187308177.6	481482755.6	552786638.6	-67248.1999998093	-65414.4000000954	61876.1999998093	-46041.8000001907	18610.5999999046
-1287355	29014.0047042152	187317018.6	482081908.6	552536625.6	83143.8000001907	-63489.4000000954	65017.1999998093	-44178.8000001907	19373.5999999046
-1287360	29014.2632448638	187107545.6	482183357.6	552314887.6	-91017.1999998093	-56483.4000000954	73293.1999998093	-36123.8000001907	27041.5999999046
-1287365	29014.521790149	187321844.6	481851831.6	552605804.6	-29431.1999998093	-61899.4000000954	67354.1999998093	-41078.8000001907	22075.5999999046
-1287371	29014.8320506117	187521345.6	481400992.6	552711278.6	-16398.1999998093	-59026.4000000954	69455.1999998093	-39512.8000001907	24331.5999999046
-1287377	29015.1423177515	187271458.6	480991840.6	552682283.6	104113.800000191	-60977.4000000954	70000.1999998093	-39375.8000001907	24001.5999999046
