# Scan Name:	20210614_SnO2_H2_TPR
# Run Number:	15
# Session Id:	378
# Trajectory Name:	Sn_EXAFS_92.tra
# First Scan Create Date:	6/14/2021 4:33:52 PM
# This Scan Create Date:	6/14/2021 4:58:34 PM
# Encoder Resolution:	87466.6666666667
# Encoder Offset:	21.1068268887761
# Lattice Spacing:	1.9202
# Analog In 1 Offset:	-2151695974.4
# Analog In 2 Offset:	-2151147110.4
# Analog In 3 Offset:	-2152253030.4
# Analog In 4 Offset:	-2151748403.2
# Analog In 5 Offset:	-2763794022.4
# Analog In 6 Offset:	-2764287180.8
# Analog In 7 Offset:	-2763074764.8
# Analog In 8 Offset:	-2763220582.4
# Encoder	Energy	ADC_01	ADC_02	ADC_03	ADC_04	ADC_05	ADC_06	ADC_07	ADC_08
-1287257	29008.9382433536	185123981.6	476387917.6	546974793.6	-111174.199999809	-64018.4000000954	63677.1999998093	-40247.8000001907	19724.5999999046
-1287262	29009.1966931504	184972517.6	476451454.6	546393207.6	-18471.1999998093	-59478.4000000954	65583.1999998093	-36997.8000001907	21483.5999999046
-1287268	29009.5068390236	185145094.6	476500222.6	546924132.6	-5783.19999980927	-63152.4000000954	60787.1999998093	-41989.8000001907	14420.5999999046
-1287273	29009.7652990157	185087697.6	476672530.6	547167710.6	1426.80000019073	-65238.4000000954	59980.1999998093	-43025.8000001907	14041.5999999046
-1287278	29010.0237636422	184910095.6	476188153.6	546470431.6	2849.80000019073	-62633.4000000954	62910.1999998093	-40779.8000001907	16748.5999999046
-1287283	29010.2822329033	185052746.6	476008543.6	546194186.6	-63765.1999998093	-73550.4000000954	54201.1999998093	-49709.8000001907	7046.59999990463
-1287289	29010.5924021343	185334941.6	476887985.6	547664462.6	-61128.1999998093	-62645.4000000954	65389.1999998093	-38643.8000001907	18088.5999999046
-1287294	29010.8508815917	185020460.6	476036696.6	546290453.6	16866.8000001907	-67675.4000000954	61171.1999998093	-43868.8000001907	13721.5999999046
-1287300	29011.1610630588	185283204.6	477239378.6	547929159.6	-97862.1999998093	-65418.4000000954	62314.1999998093	-42844.8000001907	14639.5999999046
-1287305	29011.4195527133	185146414.6	477164799.6	547647253.6	21607.8000001907	-66354.4000000954	58551.1999998093	-45741.8000001907	11222.5999999046
-1287311	29011.7297464171	185477799.6	476586280.6	546888259.6	40764.8000001907	-60610.4000000954	63746.1999998093	-41251.8000001907	18700.5999999046
-1287316	29011.9882462693	185685115.6	477748670.6	548001780.6	21394.8000001907	-70845.4000000954	52145.1999998093	-52519.8000001907	7333.59999990463
-1287321	29012.2467507568	185478575.6	477330344.6	547942394.6	30582.8000001907	-63495.4000000954	60392.1999998093	-44001.8000001907	15524.5999999046
-1287327	29012.556962261	185456979.6	477590667.6	547830839.6	-47373.1999998093	-65790.4000000954	60532.1999998093	-45187.8000001907	13865.5999999046
-1287332	29012.8154769471	185634371.6	477684981.6	547602027.6	-75096.1999998093	-63872.4000000954	62340.1999998093	-43030.8000001907	14820.5999999046
-1287338	29013.1257006897	185681514.6	477197308.6	547334936.6	-8804.19999980927	-70224.4000000954	57754.1999998093	-47650.8000001907	10499.5999999046
-1287343	29013.3842255749	185673120.6	478434103.6	548065044.6	74342.8000001907	-68690.4000000954	59630.1999998093	-45921.8000001907	11412.5999999046
-1287348	29013.6427550963	185463950.6	477302378.6	547554430.6	15526.8000001907	-73152.4000000954	54935.1999998093	-49570.8000001907	7272.59999990463
-1287354	29013.9529966418	185679384.6	477783082.6	547375354.6	-86408.1999998093	-67634.4000000954	60603.1999998093	-44208.8000001907	14201.5999999046
-1287360	29014.2632448638	185372377.6	477195633.6	546999646.6	27041.8000001907	-67541.4000000954	62566.1999998093	-43470.8000001907	15608.5999999046
-1287365	29014.521790149	185070874.6	476025432.6	546079994.6	-90661.1999998093	-71563.4000000954	58050.1999998093	-48082.8000001907	9788.59999990463
-1287371	29014.8320506117	185489406.6	477778900.6	547199078.6	11450.8000001907	-72747.4000000954	56214.1999998093	-49999.8000001907	8198.59999990463
-1287376	29015.0906060978	185388126.6	477006419.6	547158275.6	-8112.19999980927	-70105.4000000954	57757.1999998093	-47194.8000001907	10419.5999999046
-1287381	29015.3491662209	185374262.6	477268764.6	546988237.6	53278.8000001907	-67816.4000000954	59991.1999998093	-45689.8000001907	12991.5999999046
-1287387	29015.6594444896	185485794.6	477580690.6	547530502.6	-41759.1999998093	-66250.4000000954	61468.1999998093	-44674.8000001907	13914.5999999046
-1287392	29015.9180148145	185286437.6	476312630.6	546580792.6	-14865.1999998093	-70533.4000000954	57838.1999998093	-47705.8000001907	10615.5999999046
-1287398	29016.2283053257	185399405.6	476850769.6	546950709.6	-15541.1999998093	-67728.4000000954	59807.1999998093	-45233.8000001907	12266.5999999046
-1287403	29016.486885853	185686220.6	477887107.6	547849313.6	39820.8000001907	-68906.4000000954	58269.1999998093	-46323.8000001907	11085.5999999046
-1287409	29016.7971886074	185235339.6	476761302.6	547232576.6	41374.8000001907	-67944.4000000954	58104.1999998093	-44564.8000001907	12363.5999999046
-1287414	29017.0557793377	185365967.6	476909391.6	547887090.6	213425.800000191	-65455.4000000954	60948.1999998093	-43344.8000001907	14892.5999999046
-1287420	29017.3660943361	185280201.6	476124106.6	546951355.6	-103037.199999809	-67849.4000000954	60577.1999998093	-43868.8000001907	12849.5999999046
-1287425	29017.62469527	185137791.6	476637065.6	546614999.6	-64005.1999998093	-68023.4000000954	58823.1999998093	-45305.8000001907	12822.5999999046
-1287430	29017.883300842	185342572.6	476983980.6	547061733.6	31680.8000001907	-65339.4000000954	61989.1999998093	-41704.8000001907	14781.5999999046
-1287436	29018.1936336511	185378792.6	476869041.6	546825707.6	-148389.199999809	-66731.4000000954	59276.1999998093	-43727.8000001907	13615.5999999046
-1287442	29018.5039731396	185255752.6	476530494.6	546671599.6	245078.800000191	-65245.4000000954	60912.1999998093	-42310.8000001907	15626.5999999046
-1287447	29018.7625944824	185449090.6	476920272.6	546099493.6	96313.8000001907	-73519.4000000954	52525.1999998093	-49377.8000001907	8152.59999990463
-1287453	29019.072946217	185448308.6	477021246.6	547131871.6	-61559.1999998093	-70309.4000000954	56892.1999998093	-44517.8000001907	11141.5999999046
-1287458	29019.3315777653	185033431.6	476904610.6	546766663.6	33472.8000001907	-72071.4000000954	53896.1999998093	-48689.8000001907	8027.59999990463
-1287464	29019.6419417467	185296514.6	476901839.6	546480018.6	-89247.1999998093	-66230.4000000954	58456.1999998093	-43624.8000001907	12881.5999999046
-1287469	29019.900583501	185601459.6	477408008.6	547723567.6	-40778.1999998093	-71310.4000000954	54480.1999998093	-48847.8000001907	7609.59999990463
-1287475	29020.21095973	185446874.6	477262255.6	547615041.6	-91175.1999998093	-63616.4000000954	60432.1999998093	-40999.8000001907	15628.5999999046
-1287480	29020.4696116908	185367711.6	476386464.6	547465121.6	151447.800000191	-63785.4000000954	61279.1999998093	-40882.8000001907	15011.5999999046
-1287486	29020.7800001681	185147133.6	476867433.6	547380569.6	-37538.1999998093	-71286.4000000954	53057.1999998093	-48461.8000001907	7518.59999990463
-1287491	29021.0386623362	185553473.6	477133603.6	547132378.6	-84553.1999998093	-72422.4000000954	53717.1999998093	-48249.8000001907	8070.59999990463
-1287496	29021.2973291442	185335307.6	477236485.6	547414637.6	22772.8000001907	-70942.4000000954	56075.1999998093	-46309.8000001907	10157.5999999046
-1287502	29021.6077354384	185249302.6	476750286.6	546903955.6	-5132.19999980927	-72258.4000000954	53622.1999998093	-47871.8000001907	8849.59999990463
-1287508	29021.9181484145	185316577.6	476542887.6	546487132.6	-10243.1999998093	-66887.4000000954	58993.1999998093	-42099.8000001907	13318.5999999046
-1287513	29022.1768309988	185248403.6	476331799.6	546493791.6	-33678.1999998093	-62113.4000000954	64313.1999998093	-38318.8000001907	18998.5999999046
-1287518	29022.4355182235	185175203.6	477243532.6	546217557.6	26108.8000001907	-79935.4000000954	46100.1999998093	-56575.8000001907	914.599999904633
-1287524	29022.7459490187	185286349.6	476899782.6	546243953.6	-81426.1999998093	-65312.4000000954	61074.1999998093	-42338.8000001907	12820.5999999046
-1287529	29023.0046464527	185049383.6	476453257.6	546184604.6	157881.800000191	-72036.4000000954	53879.1999998093	-48200.8000001907	6176.59999990463
-1287534	29023.2633485274	185032998.6	475862839.6	545291543.6	56047.8000001907	-62112.4000000954	62285.1999998093	-38897.8000001907	16074.5999999046
-1287540	29023.5737971432	184795446.6	475870852.6	545992907.6	-164421.199999809	-69079.4000000954	56794.1999998093	-44574.8000001907	10274.5999999046
-1287546	29023.8842524421	184696849.6	474481801.6	545146692.6	-155975.199999809	-82034.4000000954	42767.1999998093	-59097.8000001907	-3175.40000009537
-1287551	29024.1429702965	185065652.6	476443549.6	546788583.6	49676.8000001907	-62622.4000000954	62253.1999998093	-40816.8000001907	16937.5999999046
-1287557	29024.4534378484	185125664.6	477047394.6	546726783.6	15630.8000001907	-70766.4000000954	52298.1999998093	-49431.8000001907	8280.59999990463
-1287562	29024.7121659139	185376460.6	476667646.6	546401070.6	128960.800000191	-67221.4000000954	54678.1999998093	-46152.8000001907	10950.5999999046
-1287568	29025.0226457194	185334114.6	476537346.6	547003312.6	27037.8000001907	-74998.4000000954	47754.1999998093	-54101.8000001907	2714.59999990463
-1287574	29025.3331322091	185427748.6	476103458.6	546745585.6	-121369.199999809	-65244.4000000954	57448.1999998093	-45863.8000001907	12096.5999999046
-1287579	29025.5918760566	185243811.6	475913992.6	546876769.6	44655.8000001907	-60857.4000000954	63210.1999998093	-40243.8000001907	18004.5999999046
-1287584	29025.8506245461	185277128.6	476539323.6	546165868.6	-27908.1999998093	-74502.4000000954	48026.1999998093	-53807.8000001907	4694.59999990463
-1287590	29026.1611288612	184796358.6	476207836.6	545401000.6	20091.8000001907	-73551.4000000954	49980.1999998093	-51805.8000001907	6167.59999990463
-1287595	29026.4198875637	185216792.6	476843956.6	545953118.6	21841.8000001907	-67446.4000000954	58304.1999998093	-44049.8000001907	13546.5999999046
-1287601	29026.7304041346	185057669.6	475942892.6	545228350.6	40821.8000001907	-64746.4000000954	59550.1999998093	-41809.8000001907	16840.5999999046
-1287606	29026.9891730506	184919869.6	475975215.6	545502274.6	-136643.199999809	-72105.4000000954	53374.1999998093	-50550.8000001907	9052.59999990463
-1287612	29027.2997018781	185370919.6	475765311.6	546455745.6	72596.8000001907	-75984.4000000954	50020.1999998093	-54500.8000001907	5362.59999990463
-1287617	29027.5584810082	184721072.6	474507327.6	545274265.6	112034.800000191	-67553.4000000954	57880.1999998093	-46576.8000001907	13407.5999999046
-1287623	29027.869022093	185253776.6	475958797.6	545632958.6	178225.800000191	-65423.4000000954	60205.1999998093	-43456.8000001907	15891.5999999046
-1287628	29028.1278114378	184854318.6	475295371.6	544194394.6	-128518.199999809	-77255.4000000954	48624.1999998093	-55440.8000001907	4128.59999990463
-1287634	29028.4383647807	185042417.6	475666454.6	545615490.6	85335.8000001907	-60801.4000000954	65729.1999998093	-41182.8000001907	19445.5999999046
-1287639	29028.6971643409	184916950.6	476146892.6	545586715.6	-71178.1999998093	-76038.4000000954	50295.1999998093	-55190.8000001907	4780.59999990463
-1287645	29029.0077299425	184664350.6	475554332.6	545562596.6	-180028.199999809	-73494.4000000954	51598.1999998093	-52551.8000001907	6545.59999990463
-1287650	29029.2665397186	185227208.6	476600472.6	546221197.6	83959.8000001907	-67736.4000000954	57421.1999998093	-47078.8000001907	12464.5999999046
-1287656	29029.5771175797	184731279.6	476121972.6	545766239.6	64407.8000001907	-64779.4000000954	59968.1999998093	-43837.8000001907	18213.5999999046
-1287661	29029.8359375723	184891501.6	475564878.6	544619249.6	-27463.1999998093	-78798.4000000954	47065.1999998093	-56761.8000001907	3536.59999990463
-1287667	29030.1465276936	185296686.6	476144686.6	545505033.6	-49158.1999998093	-63668.4000000954	62667.1999998093	-39981.8000001907	18610.5999999046
-1287672	29030.4053579033	184840976.6	476048010.6	546155263.6	19287.8000001907	-72319.4000000954	54756.1999998093	-49073.8000001907	9591.59999990463
-1287678	29030.7159602856	184717089.6	474391657.6	544600562.6	-84162.1999998093	-80328.4000000954	47039.1999998093	-58806.8000001907	1004.59999990463
-1287684	29031.0265693559	185357781.6	476127432.6	545909873.6	38775.8000001907	-55542.4000000954	71469.1999998093	-35118.8000001907	25053.5999999046
-1287689	29031.2854153569	184782725.6	474969880.6	544882018.6	-200731.199999809	-77182.4000000954	49682.1999998093	-55994.8000001907	4729.59999990463
