# Scan Name:	20210614_SnO2_H2_TPR
# Run Number:	28
# Session Id:	391
# Trajectory Name:	Sn_EXAFS_92.tra
# First Scan Create Date:	6/14/2021 4:33:52 PM
# This Scan Create Date:	6/14/2021 5:21:32 PM
# Encoder Resolution:	87466.6666666667
# Encoder Offset:	21.1068268887761
# Lattice Spacing:	1.9202
# Analog In 1 Offset:	-2151695974.4
# Analog In 2 Offset:	-2151147110.4
# Analog In 3 Offset:	-2152253030.4
# Analog In 4 Offset:	-2151748403.2
# Analog In 5 Offset:	-2763794022.4
# Analog In 6 Offset:	-2764287180.8
# Analog In 7 Offset:	-2763074764.8
# Analog In 8 Offset:	-2763220582.4
# Encoder	Energy	ADC_01	ADC_02	ADC_03	ADC_04	ADC_05	ADC_06	ADC_07	ADC_08
-1287174	29004.648653569	185790131.6	477205661.6	548183424.6	59118.8000001907	-62243.4000000954	59953.1999998093	-41321.8000001907	23523.5999999046
-1287177	29004.8036767461	185684815.6	477139606.6	548163045.6	78118.8000001907	-62179.4000000954	60518.1999998093	-41280.8000001907	23210.5999999046
-1287181	29005.0103769095	185714115.6	477146645.6	548668352.6	79536.8000001907	-68965.4000000954	53519.1999998093	-47485.8000001907	17127.5999999046
-1287186	29005.2687562827	185566385.6	477035367.6	548324161.6	8292.80000019073	-69131.4000000954	53096.1999998093	-48329.8000001907	17380.5999999046
-1287191	29005.5271402882	185723902.6	477457843.6	548407910.6	28364.8000001907	-69887.4000000954	53034.1999998093	-48619.8000001907	16737.5999999046
-1287196	29005.785528926	185874996.6	477330685.6	548616694.6	118169.800000191	-69491.4000000954	53345.1999998093	-48840.8000001907	16025.5999999046
-1287201	29006.0439221963	185748714.6	476431248.6	547675325.6	52209.8000001907	-69525.4000000954	53490.1999998093	-46786.8000001907	16692.5999999046
-1287206	29006.3023200993	185904420.6	477065535.6	548477063.6	99454.8000001907	-69906.4000000954	53456.1999998093	-47690.8000001907	17385.5999999046
-1287211	29006.5607226349	185702051.6	477540306.6	548159195.6	-20463.1999998093	-72971.4000000954	51021.1999998093	-51589.8000001907	13980.5999999046
-1287215	29006.7674479992	185754166.6	477161055.6	547758296.6	77323.8000001907	-70669.4000000954	54513.1999998093	-48836.8000001907	17758.5999999046
-1287221	29007.0775416051	185941574.6	477186310.6	548514011.6	-5661.19999980927	-68879.4000000954	54190.1999998093	-48449.8000001907	18010.5999999046
-1287226	29007.3359580397	185899996.6	476617464.6	549019681.6	73804.8000001907	-72005.4000000954	51433.1999998093	-49999.8000001907	15471.5999999046
-1287231	29007.5943791077	185757500.6	477331074.6	548310275.6	91553.8000001907	-68477.4000000954	54523.1999998093	-47154.8000001907	17554.5999999046
-1287236	29007.852804809	185831343.6	477572823.6	548559090.6	141770.800000191	-70113.4000000954	54950.1999998093	-46968.8000001907	17129.5999999046
-1287241	29008.1112351437	185696813.6	477361490.6	548274410.6	78606.8000001907	-72659.4000000954	52664.1999998093	-50933.8000001907	15374.5999999046
-1287246	29008.3696701121	185816174.6	477349321.6	548410345.6	49908.8000001907	-70299.4000000954	54157.1999998093	-49055.8000001907	16959.5999999046
-1287252	29008.6797981908	185619405.6	477198290.6	548234226.6	48921.8000001907	-67717.4000000954	57248.1999998093	-44940.8000001907	20301.5999999046
-1287257	29008.9382433536	186035026.6	477040803.6	548999751.6	46184.8000001907	-71089.4000000954	53542.1999998093	-47940.8000001907	18685.5999999046
-1287262	29009.1966931504	185894592.6	478097989.6	548865312.6	144942.800000191	-64957.4000000954	60007.1999998093	-42679.8000001907	24232.5999999046
-1287268	29009.5068390236	185573397.6	477314060.6	548373724.6	35801.8000001907	-70755.4000000954	53283.1999998093	-48823.8000001907	16795.5999999046
-1287273	29009.7652990157	186042462.6	478163900.6	548985082.6	53074.8000001907	-62361.4000000954	59967.1999998093	-39645.8000001907	24849.5999999046
-1287278	29010.0237636422	186157170.6	478555826.6	548282475.6	47821.8000001907	-66744.4000000954	54794.1999998093	-45591.8000001907	20159.5999999046
-1287284	29010.3339273116	186064529.6	478048486.6	548494552.6	58565.8000001907	-63566.4000000954	58916.1999998093	-41411.8000001907	23975.5999999046
-1287289	29010.5924021343	186298570.6	478660623.6	548854817.6	9781.80000019073	-68650.4000000954	55057.1999998093	-45748.8000001907	19197.5999999046
-1287294	29010.8508815917	186231383.6	478648360.6	548378669.6	75344.8000001907	-66398.4000000954	56506.1999998093	-44657.8000001907	20673.5999999046
-1287300	29011.1610630588	186366065.6	478855304.6	549224188.6	34333.8000001907	-60973.4000000954	64538.1999998093	-38126.8000001907	27068.5999999046
-1287305	29011.4195527133	186561069.6	479184448.6	550040732.6	39279.8000001907	-69291.4000000954	54128.1999998093	-46332.8000001907	18478.5999999046
-1287311	29011.7297464171	186605179.6	479431569.6	549315853.6	98239.8000001907	-69567.4000000954	53154.1999998093	-47821.8000001907	16427.5999999046
-1287316	29011.9882462693	186548519.6	479193941.6	549655953.6	72881.8000001907	-60113.4000000954	63232.1999998093	-38613.8000001907	26525.5999999046
-1287321	29012.2467507568	186551898.6	479220473.6	549367519.6	55559.8000001907	-68116.4000000954	55732.1999998093	-46325.8000001907	18284.5999999046
-1287327	29012.556962261	186574320.6	480092559.6	549129733.6	26799.8000001907	-64607.4000000954	59283.1999998093	-42972.8000001907	22326.5999999046
