# Scan Name:	20210614_SnO2_H2_TPR
# Run Number:	6
# Session Id:	369
# Trajectory Name:	Sn_EXAFS_92.tra
# First Scan Create Date:	6/14/2021 4:33:52 PM
# This Scan Create Date:	6/14/2021 4:42:42 PM
# Encoder Resolution:	87466.6666666667
# Encoder Offset:	21.1068268887761
# Lattice Spacing:	1.9202
# Analog In 1 Offset:	-2151695974.4
# Analog In 2 Offset:	-2151147110.4
# Analog In 3 Offset:	-2152253030.4
# Analog In 4 Offset:	-2151748403.2
# Analog In 5 Offset:	-2763794022.4
# Analog In 6 Offset:	-2764287180.8
# Analog In 7 Offset:	-2763074764.8
# Analog In 8 Offset:	-2763220582.4
# Encoder	Energy	ADC_01	ADC_02	ADC_03	ADC_04	ADC_05	ADC_06	ADC_07	ADC_08
-1287173	29004.5969795472	184717391.6	474760951.6	545424201.6	9722.80000019073	-33150.4000000954	94015.1999998093	-11487.8000001907	52481.5999999046
-1287176	29004.7520021685	184678248.6	474538599.6	545214019.6	32007.8000001907	-27486.4000000954	99713.1999998093	-7535.80000019073	55825.5999999046
-1287182	29005.0620524136	184529777.6	474352926.6	545050071.6	216434.800000191	-31233.4000000954	95368.1999998093	-10323.8000001907	51991.5999999046
-1287186	29005.2687562827	184571707.6	474318554.6	544690537.6	73512.8000001907	-30576.4000000954	97623.1999998093	-7947.80000019073	52873.5999999046
-1287191	29005.5271402882	184508601.6	474539763.6	544896846.6	98348.8000001907	-29205.4000000954	97409.1999998093	-8145.80000019073	52879.5999999046
-1287196	29005.785528926	184484459.6	474024339.6	544833324.6	114375.800000191	-32091.4000000954	94644.1999998093	-10415.8000001907	51687.5999999046
-1287201	29006.0439221963	184583404.6	474557689.6	544677884.6	41775.8000001907	-35425.4000000954	92889.1999998093	-13236.8000001907	47993.5999999046
-1287207	29006.3540002358	184447657.6	474059018.6	544026897.6	169452.800000191	-33664.4000000954	93623.1999998093	-11989.8000001907	51269.5999999046
-1287212	29006.612403698	184526348.6	474435088.6	545007035.6	72422.8000001907	-33222.4000000954	94914.1999998093	-11095.8000001907	50528.5999999046
-1287216	29006.8191298035	184767079.6	474919508.6	544971481.6	97755.8000001907	-33270.4000000954	97093.1999998093	-9516.80000019073	51994.5999999046
-1287222	29007.1292245213	184625264.6	474466190.6	545112306.6	128067.800000191	-32834.4000000954	97299.1999998093	-9528.80000019073	51815.5999999046
-1287227	29007.3876418827	184569372.6	475256174.6	545644604.6	35659.8000001907	-34279.4000000954	93549.1999998093	-12324.8000001907	49661.5999999046
-1287232	29007.6460638773	184782950.6	474798095.6	545342209.6	23733.8000001907	-32548.4000000954	95467.1999998093	-10874.8000001907	51677.5999999046
-1287238	29007.9561763868	184734699.6	475393391.6	545219544.6	80645.8000001907	-36230.4000000954	91614.1999998093	-14437.8000001907	47756.5999999046
-1287243	29008.2146085751	184487705.6	474379705.6	544634386.6	164007.800000191	-36650.4000000954	90821.1999998093	-15442.8000001907	47521.5999999046
-1287248	29008.4730453969	184445613.6	474256851.6	544626758.6	1209.80000019073	-39488.4000000954	88414.1999998093	-17900.8000001907	43514.5999999046
-1287253	29008.7314868526	184881334.6	475068319.6	545155574.6	36261.8000001907	-39668.4000000954	88000.1999998093	-16628.8000001907	46430.5999999046
-1287258	29008.9899329422	184692129.6	474579050.6	545517257.6	222488.800000191	-41021.4000000954	87741.1999998093	-17727.8000001907	44145.5999999046
-1287264	29009.3000743667	184968371.6	475486162.6	546306511.6	90283.8000001907	-42692.4000000954	86534.1999998093	-19367.8000001907	42670.5999999046
-1287269	29009.5585306513	184911387.6	475933528.6	545385397.6	75754.8000001907	-40110.4000000954	88942.1999998093	-16343.8000001907	45581.5999999046
-1287275	29009.8686843102	184843259.6	474971264.6	545298898.6	63302.8000001907	-41420.4000000954	87198.1999998093	-18260.8000001907	43992.5999999046
-1287280	29010.1271507905	185243986.6	475502751.6	545347994.6	24757.8000001907	-38620.4000000954	89423.1999998093	-15580.8000001907	46355.5999999046
-1287285	29010.3856219054	185126959.6	475250485.6	545850404.6	187818.800000191	-40310.4000000954	87518.1999998093	-17687.8000001907	43506.5999999046
-1287291	29010.6957933611	185227463.6	475333827.6	546580686.6	40479.8000001907	-39321.4000000954	89162.1999998093	-17551.8000001907	45059.5999999046
-1287296	29010.9542746725	185470429.6	476935617.6	547620179.6	48702.8000001907	-34166.4000000954	95046.1999998093	-10765.8000001907	50997.5999999046
-1287301	29011.2127606189	185160514.6	475581956.6	545446171.6	50994.8000001907	-45989.4000000954	83046.1999998093	-23530.8000001907	37997.5999999046
-1287307	29011.5229498729	185343026.6	476742980.6	547428583.6	164388.800000191	-41078.4000000954	87249.1999998093	-19580.8000001907	43875.5999999046
-1287312	29011.7814460167	185480918.6	476619349.6	547594801.6	100866.800000191	-33660.4000000954	94821.1999998093	-12765.8000001907	50859.5999999046
-1287317	29012.0399467959	185427327.6	477037104.6	546529759.6	-63126.1999998093	-43373.4000000954	85306.1999998093	-22085.8000001907	41495.5999999046
-1287323	29012.3501538498	185815729.6	476645046.6	547871260.6	134098.800000191	-41913.4000000954	85415.1999998093	-22689.8000001907	41488.5999999046
-1287328	29012.6086648273	185311172.6	475826576.6	546836966.6	82726.8000001907	-37787.4000000954	90728.1999998093	-17610.8000001907	45699.5999999046
-1287334	29012.9188841195	185467433.6	475847824.6	547018834.6	83212.8000001907	-46124.4000000954	83724.1999998093	-23816.8000001907	38873.5999999046
-1287339	29013.1774052959	185495674.6	476542560.6	546820768.6	89200.8000001907	-32403.4000000954	96961.1999998093	-12282.8000001907	52453.5999999046
-1287345	29013.4876368271	185309979.6	476721203.6	547090922.6	62500.8000001907	-43118.4000000954	87250.1999998093	-20507.8000001907	43254.5999999046
-1287350	29013.746168203	185484513.6	477114683.6	546868865.6	7533.80000019073	-45829.4000000954	82869.1999998093	-22938.8000001907	40559.5999999046
-1287355	29014.0047042152	185520020.6	477124069.6	546756842.6	69699.8000001907	-39635.4000000954	91481.1999998093	-15906.8000001907	47856.5999999046
-1287361	29014.3149535499	185651321.6	476883228.6	546778089.6	117837.800000191	-42022.4000000954	88337.1999998093	-19787.8000001907	44646.5999999046
-1287366	29014.5734997624	185348241.6	476230597.6	545824682.6	104418.800000191	-44559.4000000954	83898.1999998093	-23578.8000001907	39316.5999999046
-1287372	29014.883761338	185383990.6	476423696.6	546424518.6	115264.800000191	-44781.4000000954	85479.1999998093	-22174.8000001907	41261.5999999046
-1287378	29015.1940295906	185753294.6	477333727.6	547203843.6	40680.8000001907	-41604.4000000954	87526.1999998093	-20771.8000001907	45028.5999999046
-1287383	29015.4525915686	185403423.6	476525129.6	547295273.6	97483.8000001907	-42525.4000000954	87249.1999998093	-21294.8000001907	43524.5999999046
-1287388	29015.7111581836	185373497.6	476290766.6	546593741.6	-34617.1999998093	-44669.4000000954	84260.1999998093	-22558.8000001907	40738.5999999046
-1287394	29016.0214442429	185529088.6	476882315.6	546593958.6	138394.800000191	-42235.4000000954	86265.1999998093	-20911.8000001907	42360.5999999046
-1287399	29016.2800210602	185227155.6	476301562.6	546000230.6	-45169.1999998093	-42918.4000000954	88665.1999998093	-19949.8000001907	43992.5999999046
-1287405	29016.5903193625	185788657.6	477084449.6	547177770.6	101705.800000191	-44668.4000000954	86861.1999998093	-21935.8000001907	40828.5999999046
-1287410	29016.8489063825	185221210.6	476005413.6	546076371.6	111292.800000191	-42652.4000000954	88470.1999998093	-18519.8000001907	44443.5999999046
-1287415	29017.1074980403	185431245.6	477255865.6	546910024.6	28741.8000001907	-37498.4000000954	93638.1999998093	-15216.8000001907	47938.5999999046
-1287421	29017.4178141518	185274756.6	476239294.6	546211997.6	4878.80000019073	-38123.4000000954	90992.1999998093	-17029.8000001907	46016.5999999046
-1287426	29017.6764160133	185542582.6	477341030.6	547665965.6	77436.8000001907	-41092.4000000954	89499.1999998093	-20564.8000001907	43731.5999999046
-1287431	29017.935022513	185438489.6	476744055.6	547825542.6	-47913.1999998093	-43992.4000000954	83961.1999998093	-24368.8000001907	41237.5999999046
-1287437	29018.2453564353	185449731.6	476826655.6	546917687.6	36249.8000001907	-41643.4000000954	87940.1999998093	-20646.8000001907	44546.5999999046
-1287443	29018.555697037	185353354.6	476733128.6	546819878.6	218079.800000191	-38385.4000000954	91407.1999998093	-17995.8000001907	47491.5999999046
-1287448	29018.8143193076	185370976.6	476542746.6	546551119.6	-662.199999809265	-46577.4000000954	83240.1999998093	-26874.8000001907	39657.5999999046
-1287454	29019.1246721555	185026582.6	475268289.6	545298268.6	207356.800000191	-41603.4000000954	88759.1999998093	-19961.8000001907	45794.5999999046
-1287459	29019.3833046316	185202632.6	476650655.6	545896902.6	17984.8000001907	-40625.4000000954	88647.1999998093	-19103.8000001907	46721.5999999046
-1287464	29019.6419417467	184872591.6	475964147.6	545909515.6	110392.800000191	-43592.4000000954	85754.1999998093	-23266.8000001907	43145.5999999046
-1287470	29019.9523124085	185346311.6	476425593.6	546326172.6	-41425.1999998093	-34285.4000000954	94569.1999998093	-15329.8000001907	51813.5999999046
