0000000077,scans,0000000146,DataLength
"header",0000000029,"lines"
"Date",6/14/2021,"Time",4:20:01 PM
"ID","HAL RC RGA 201 #16792","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",2.00,2.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 2","RGA","Faraday","mass",4.00,4.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 3","RGA","Faraday","mass",18.00,18.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 4","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 5","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 6","RGA","Faraday","mass",40.00,40.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 7","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 8","RGA","Temperature","mass",1.00,1.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 9","RGA","vacuum","mass",1.00,1.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",0,"( 1 = on, 0 = off )"
"F2",1,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"curtail-clipping",0,"( 1 = on, 0 = off )"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",200.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",840,"V"
00:42:29,   2549456,  5.52549e-07,  2.87788e-09,  5.63523e-09,  8.39752e-09,  2.30436e-09,  3.91030e-06,  6.79828e-11,   166.2509,  2.01848e-06,
00:44:09,   2649318,  5.43626e-07,  2.78108e-09,  5.59617e-09,  8.37104e-09,  2.22593e-09,  3.90559e-06,  8.23556e-11,   182.8062,  2.01848e-06,
00:45:49,   2749182,  5.49861e-07,  2.59437e-09,  5.67512e-09,  8.34624e-09,  2.10057e-09,  3.90962e-06,  9.71691e-11,   199.3614,  2.01848e-06,
00:47:29,   2849041,  5.46744e-07,  2.43018e-09,  5.83373e-09,  8.33720e-09,  1.93086e-09,  3.90761e-06,  7.75503e-11,   215.6479,  2.01848e-06,
00:49:08,   2948903,  5.45561e-07,  2.32217e-09,  6.07082e-09,  8.34952e-09,  1.81501e-09,  3.89753e-06,  6.77463e-11,   232.1493,  2.01848e-06,
00:50:48,   3048765,  5.54699e-07,  2.17824e-09,  6.32894e-09,  8.40656e-09,  1.73873e-09,  3.90090e-06,  8.16676e-11,   249.1883,  2.01848e-06,
00:52:28,   3148629,  5.57171e-07,  2.08099e-09,  6.54032e-09,  8.32269e-09,  1.69746e-09,  3.91232e-06,  8.21621e-11,   265.6898,  2.01848e-06,
00:54:08,   3248489,  5.49216e-07,  2.01661e-09,  6.74818e-09,  8.36171e-09,  1.69522e-09,  3.91030e-06,  8.74618e-11,   282.1375,  2.01848e-06,
00:55:48,   3348349,  5.48894e-07,  1.89589e-09,  6.89003e-09,  8.29259e-09,  1.64507e-09,  3.91299e-06,  9.14178e-11,   298.5852,  2.01848e-06,
00:57:28,   3448210,  5.43734e-07,  1.82284e-09,  6.98943e-09,  8.33684e-09,  1.68003e-09,  3.91366e-06,  9.27723e-11,   314.7642,  2.01848e-06,
00:59:07,   3547034,  5.51904e-07,  1.75984e-09,  7.16114e-09,  8.33189e-09,  1.68200e-09,  3.91568e-06,  1.04952e-10,   331.3732,  2.01848e-06,
