,Name,Chi2,RedChi2,Variables,Amp1,Amp1-stdev,Amp2,Amp2-stdev,Amp3,Amp3-stdev,Sum Amp
0,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,2.260458447445825e-29,5.825923833623261e-32,2,0.9999999999999987,1.8154806119158965e-16,0.0,1.7767568388971254e-24,1.3322676295501878e-15,1.815480596542293e-16,1.0
1,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0002,0.004025587691991137,1.040203537982206e-05,2,1.0,3.322809938009777e-12,0.0,1.852209008345011e-12,0.0,4.757275648060148e-12,1.0
2,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0003,0.0027027988128417316,6.98397626057295e-06,2,0.9965364872236704,0.003674952511031946,0.0029562138001669735,0.007151173179168395,0.0005072989761626401,0.003641442397262286,1.0
3,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0004,0.0032575568214256827,8.39576500367444e-06,2,0.9971980199695993,0.0016610182676259995,0.0030034183922278967,0.001676350210692601,0.0,0.00019300560122750292,1.0002014383618272
4,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0005,0.0037144393431590064,9.573297276183006e-06,2,0.9843819326467436,0.0017775178596504155,0.01667164274185956,0.0017936164796515928,0.0,0.00020604885053815292,1.0010535753886032
5,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0006,0.00384739145662381,9.9159573624325e-06,2,0.9879297272923957,0.0018111211528259047,0.01265076313832536,0.0018277928400799472,0.0,0.00020965208266059872,1.0005804904307212
6,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0007,0.003467810446361918,8.960750507395137e-06,2,0.9858769304734056,0.001723484520501996,0.015364481910014105,0.0017398718851295968,0.0,0.00019978340844329268,1.0012414123834197
7,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0008,0.002745503285854595,7.094323736058385e-06,2,0.9927506054081154,0.0015311555709378278,0.0074701574100062285,0.00154550895341873,0.0,0.0001775266010687819,1.0002207628181217
8,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0009,0.003853511728448478,9.957394647153691e-06,2,0.982581367138986,0.004390300591387613,0.017418622410864837,0.008566316952661492,1.0450149134921816e-08,0.004373321867485311,1.0
9,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0010,0.004452555439927624,1.1505311214283267e-05,2,0.9997927252561596,0.004744318532580329,1.686136126338722e-05,0.009252923430361763,0.000190413382577026,0.004719943487993942,1.0
10,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0011,0.003436196150236936,8.879059819733684e-06,2,0.9813539801662978,0.0017122429719561448,0.019229060022046773,0.001728296674694125,0.0,0.0001986368736887953,1.0005830401883447
11,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0012,0.004655662360235187,1.203013529776534e-05,2,0.9998160750827165,0.00483172207893712,2.416125418308601e-05,0.009425436939067389,0.00015976366310038737,0.004810145140562002,1.0
12,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0013,0.005158572214902499,1.3295289213666234e-05,2,0.957853843930536,0.0020947249820535384,0.043593208219776636,0.002114425927142222,0.0,0.00024297768754045658,1.0014470521503127
13,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0014,0.00429568432080199,1.109995948527646e-05,2,0.9706574386000396,0.0019134669291932778,0.029721257541432566,0.0019322562181606176,0.0,0.00022199208336816986,1.0003786961414722
14,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0015,0.005979211823749687,1.545015975129118e-05,2,0.9547646722174653,0.002254246194933625,0.0454433283446557,0.0022749682497397766,0.0,0.00026227773892575576,1.000208000562121
15,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0016,0.004715257974597439,1.2184129133326715e-05,2,0.9379791728493374,0.0020038249400961164,0.06264261348891415,0.002022962935255783,0.0,0.0002326621112882067,1.0006217863382516
16,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0017,0.006386639845068521,1.650294533609437e-05,2,0.9174691068015355,0.0023324524700618953,0.0834193373203777,0.0023546081871506754,0.0,0.00027104419567271774,1.0008884441219132
17,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0018,0.004570636020199442,1.1810428992763417e-05,2,0.9023687733782195,0.001977227711167104,0.09922415979394134,0.00199550657473847,0.0,0.00022923538411899055,1.001592933172161
18,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0019,0.006102477515196731,1.5768675749862353e-05,2,0.8826358413008574,0.0022782350046379714,0.11782363452893185,0.002299714782681198,0.0,0.00026463799172540787,1.0004594758297891
19,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0020,0.004926279182412065,1.27294035721242e-05,2,0.8676559407472505,0.0020536479873535297,0.13403865321629232,0.0020729711846093563,0.0,0.00023801433988686801,1.0016945939635429
20,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0021,0.006683999650318767,1.7271316925888288e-05,2,0.8321890360738127,0.0023870152019871663,0.16957325411999197,0.0024096670796252394,0.0,0.00027695640574756534,1.0017622901938046
21,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0022,0.006254203269742334,1.6160731963158485e-05,2,0.8073399862886534,0.00231200767772559,0.192797726057438,0.002334637606663197,0.0,0.00026809589399759843,1.0001377123460915
22,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0023,0.00912573620586413,2.358071371024323e-05,2,0.7499081159340565,0.002794415427561887,0.2519921330408918,0.002821421910341352,0.0,0.0003241724988540046,1.0019002489749482
