Time,File Name,TOS [s],H2,He,H2O,28,O2,Ar,CO2,T,Vac,Stepnumber, T1  [°C], T2  [°C], T3  [°C], T4  [°C], P1 [psig] , P2 [psig] , P3 [psig] , P4 [psig] , P5 [psig] , P6 [psig] , P7 [psia] , P8 [psia] , P9 [psia] ,MFC1 SP [ml/min],MFC2 SP [ml/min],MFC3 SP [ml/min],MFC4 SP [ml/min],MFC5 SP [ml/min],MFC6 SP [ml/min],MFC1 CSP [ml/min],MFC2 CSP [ml/min],MFC3 CSP [ml/min],MFC4 CSP [ml/min],MFC5 CSP [ml/min],MFC6 CSP [ml/min],MFC1Flow [ml/min],MFC2Flow [ml/min],MFC3Flow [ml/min],MFC4Flow [ml/min],MFC5Flow [ml/min],MFC6Flow [ml/min],SV1 SP,SV1 Feedback,SV2 SP,SV2 Feedback,BV1,BV2,BV3,BV4,BV5,BV6,TR1 SP [°C],TR1 CSP [°C],TR1 T [°C],TR2 SP [°C],TR2 CSP [°C],TR2 T [°C],"Extra AI1, Extra AI1 [Kg]","Extra AI2, Extra AI2 [psi]","Extra AI3, Extra AI3 [apples]","Extra AI4, Extra AI4 [barrels]",Extra TC1 - Extra TC1 [°C],Extra TC2 - Extra TC2 [°C],Extra TC3 - Extra TC3 [°C],Extra TC4 - Extra TC4 [°C],Extra TC5 - Extra TC5 [°C],Extra TC6 - Extra TC6 [°C],Extra TC7 - Extra TC7 [°C],Extra TC8 - Extra TC8 [°C],Extra DO 1,Extra DO 2,Extra DO 3,Extra DO 4
2021-06-14 17:03:51,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0018,1799.0,5.453213699999999e-07,2.799472e-09,5.6035914e-09,8.3760712e-09,2.2408317e-09,3.9064849e-06,7.962476799999999e-11,179.66069299999998,2.01848e-06,0.0,2300.4873614,2300.4873614,2300.7452218,2300.7452218,41.5587624,35.9696754,40.054677999999996,21.722252,33.5948998,40.615131399999996,17.149432,7.2715928,4.183185,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3335268,0.401674,10.3412512,0.0576136,0.14885020000000002,0.12044200000000001,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,450.0,186.9162844,185.91575600000002,0.0,0.0,0.0,0.3667704,0.3009072,0.25218280000000004,0.241545,2300.7452218,2300.4873614,2300.4873614,2300.7452218,2300.7452218,2300.7452218,2300.6240038,2300.6240038,0.0,0.0,0.0,0.0
2021-06-14 17:05:37,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0019,1905.0000000000002,5.4905045e-07,2.6186423e-09,5.6648564999999995e-09,8.349464e-09,2.1168667999999998e-09,3.9090961e-06,9.5243345e-11,197.209224,2.01848e-06,0.0,2300.4997994666664,2300.4997994666664,2300.7562835333333,2300.7562835333333,41.59329266666667,35.96634913333334,40.05149193333334,21.729408799999998,33.59513046666667,40.6167992,17.164393066666666,6.585827533333333,-2.516727733333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.4105747333333334,0.3877748,10.348036800000001,0.0580122,0.14928786666666666,0.11321866666666668,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,450.0,204.45794999999998,203.48356226666667,0.0,0.0,0.0,-0.06901193333333334,0.0025860666666666574,0.0455096,0.0896158,2300.7562835333333,2300.4997994666664,2300.4997994666664,2300.7562835333333,2300.7562835333333,2300.7562835333333,2300.6363793333335,2300.6363793333335,0.0,0.0,0.0,0.0
2021-06-14 17:07:22,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0020,2010.0000000000002,5.469933600000001e-07,2.4433152e-09,5.8210412e-09,8.3379232e-09,1.9444368e-09,3.9077708e-06,7.9119804e-11,214.34498,2.01848e-06,0.0,2300.5079078666668,2300.5079078666668,2300.7639109333336,2300.7639109333336,41.6247356,35.969632133333334,40.0553244,21.7323154,33.595004333333335,40.61700353333333,17.244528066666668,7.6522760000000005,5.167082,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3449087333333334,0.397078,10.321879666666666,0.05697,0.14311526666666669,0.11190533333333334,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,450.0,222.07740153333333,221.06769933333334,0.0,0.0,0.0,0.45850566666666664,0.3805168,0.31719273333333337,0.29744913333333334,2300.7639109333336,2300.5079078666668,2300.5079078666668,2300.7639109333336,2300.7639109333336,2300.7639109333336,2300.6437959333334,2300.6437959333334,0.0,0.0,0.0,0.0
2021-06-14 17:09:08,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0021,2116.0,5.455729494949494e-07,2.32326101010101e-09,6.068425151515152e-09,8.349395555555555e-09,1.816180202020202e-09,3.897631818181818e-06,6.78453303030303e-11,231.9826191919192,2.01848e-06,0.0,2300.5192383333333,2300.5192383333333,2300.775526666667,2300.775526666667,41.647326,35.970688333333335,40.060536,21.734752666666665,33.595036,40.61386866666667,17.26804333333333,8.188357,3.402195,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3147026666666666,0.3998136666666667,10.330197333333333,0.055897333333333334,0.14197666666666667,0.124973,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,450.0,239.591293,238.61371866666667,0.0,0.0,0.0,0.2678773333333333,0.23055733333333334,0.16051333333333334,0.150663,2300.775526666667,2300.5192383333333,2300.5192383333333,2300.775526666667,2300.775526666667,2300.775526666667,2300.656061,2300.656061,0.0,0.0,0.0,0.0
2021-06-14 17:10:56,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0022,2224.0,5.5487204e-07,2.1714325e-09,6.3437366e-09,8.4006891e-09,1.7358411e-09,3.901699400000001e-06,8.170221499999999e-11,250.343405,2.01848e-06,0.0,2300.5155209333334,2300.5155209333334,2300.7717520666665,2300.7717520666665,41.6731052,35.964812,40.06632166666667,21.739569133333333,33.5951064,40.612895800000004,17.483120466666666,8.642327866666667,0.9438763999999988,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3405310666666665,0.3955454666666666,10.335559866666665,0.057490799999999995,0.1499446,0.112759,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,450.0,257.61627799999997,256.6536916,0.0,0.0,0.0,0.09640159999999998,0.09953099999999998,0.07081326666666665,0.08309306666666666,2300.7717520666665,2300.5155209333334,2300.5155209333334,2300.7717520666665,2300.7717520666665,2300.7717520666665,2300.6537142666666,2300.6537142666666,0.0,0.0,0.0,0.0
2021-06-14 17:12:42,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0023,2330.0,5.5613685e-07,2.0726206e-09,6.5673418e-09,8.3277626e-09,1.6971688e-09,3.9120574e-06,8.2851061e-11,267.828001,2.01848e-06,0.0,2300.538595,2300.538595,2300.7948926,2300.7948926,41.6925908,35.969688000000005,40.0704794,21.7443276,33.5947178,40.6206546,17.3795414,7.8519,3.2855283999999996,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3650468,0.398391,10.3304162,0.0574296,0.1417578,0.115911,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,450.0,275.166278,274.166284,0.0,0.0,0.0,0.2889564,0.2427926,0.2072674,0.2075302,2300.7948926,2300.538595,2300.538595,2300.7948926,2300.7948926,2300.7948926,2300.675787,2300.675787,0.0,0.0,0.0,0.0
2021-06-14 17:14:27,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0024,2435.0,5.4915804e-07,1.9948804e-09,6.7737129999999995e-09,8.349268399999999e-09,1.686193e-09,3.910784199999999e-06,8.817388000000001e-11,285.09808599999997,2.01848e-06,0.0,2300.5500342,2300.5500342,2300.8071626,2300.8071626,41.7142308,35.973376800000004,40.0662204,21.746688,33.5950824,40.6225142,17.277874999999998,7.785242,2.8449088,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3006934,0.401018,10.3369828,0.0565562,0.1384746,0.11748700000000001,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,450.0,292.5246156,291.585486,0.0,0.0,0.0,0.2099598,0.1748942,0.12669519999999998,0.1238062,2300.8071626,2300.5500342,2300.5500342,2300.8071626,2300.8071626,2300.8071626,2300.6884238000002,2300.6884238000002,0.0,0.0,0.0,0.0
2021-06-14 17:16:13,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0025,2541.0,5.476555999999999e-07,1.8783580000000003e-09,6.913886e-09,8.30321e-09,1.6534604e-09,3.9131507999999995e-06,9.174288e-11,302.46816,2.01848e-06,0.0,2300.5537393333334,2300.5537393333334,2300.8117093333335,2300.8117093333335,41.736630999999996,35.979821333333334,40.062251333333336,21.75181166666667,33.594788,40.61918966666667,17.335041333333333,7.197139,-2.3490596666666668,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.37818,0.38613333333333333,10.336216666666667,0.059881000000000004,0.13869366666666666,0.11183966666666667,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,450.0,310.174622,309.1228943333333,0.0,0.0,0.0,-0.0456786666666667,0.02688299999999999,0.06081,0.10327433333333333,2300.8117093333335,2300.5537393333334,2300.5537393333334,2300.8117093333335,2300.8117093333335,2300.8117093333335,2300.6920586666665,2300.6920586666665,0.0,0.0,0.0,0.0
2021-06-14 17:17:58,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0026,2646.0,5.461272323232323e-07,1.8043854545454547e-09,7.039728888888889e-09,8.33539e-09,1.6806070707070707e-09,3.914251717171717e-06,9.634009090909091e-11,319.62946262626264,2.01848e-06,0.0,2300.5822053333336,2300.5822053333336,2300.840463,2300.840463,41.765446,35.96960333333333,40.06418266666667,21.757895666666666,33.59493366666667,40.623435666666666,17.39534,8.0745,-0.10218666666666687,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3562910000000001,0.38175566666666666,10.344425,0.05850233333333334,0.14416600000000002,0.11348133333333334,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,450.0,327.507965,326.60438066666666,0.0,0.0,0.0,0.08215133333333333,0.10283633333333334,0.08379333333333334,0.09626966666666666,2300.840463,2300.5822053333336,2300.5822053333336,2300.840463,2300.840463,2300.840463,2300.7201726666667,2300.7201726666667,0.0,0.0,0.0,0.0
2021-06-14 17:19:44,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0027,2752.0,5.516301818181818e-07,1.7324945454545454e-09,7.2175872727272725e-09,8.331322727272728e-09,1.6840363636363635e-09,3.92032e-06,1.0024938181818182e-10,337.4323636363636,2.01848e-06,0.0,2300.5715726666667,2300.5715726666667,2300.8297482000003,2300.8297482000003,41.78911286666667,35.97533786666667,40.06186486666667,21.762448933333335,33.5951152,40.622468866666665,17.027553,6.5574828,-3.368198,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3291491333333334,0.3916052,10.336983,0.05663286666666667,0.15064473333333334,0.114729,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,450.0,345.307965,344.25059573333334,0.0,0.0,0.0,-0.11821759999999999,-0.024884133333333336,0.027123466666666658,0.07783926666666667,2300.8297482000003,2300.5715726666667,2300.5715726666667,2300.8297482000003,2300.8297482000003,2300.8297482000003,2300.7099098,2300.7099098,0.0,0.0,0.0,0.0
