,Name,Chi2,RedChi2,Variables,Amp1,Amp1-stdev,Amp2,Amp2-stdev,Sum Amp
0,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,2.432990059083361e-30,6.254473159597329e-33,1,1.0,6.093418260318336e-26,0.0,6.093418260318336e-26,1.0
1,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0002,0.004025587691991137,1.0375226010286436e-05,1,1.0,2.4845488184660616e-12,0.0,2.4845488184660612e-12,1.0
2,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0003,0.002703981708974975,6.9690250231313785e-06,1,0.9980172894610861,0.0007728484225291251,0.0019827105389138566,0.0007728484219741734,1.0
3,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0004,0.0032810691238087243,8.434624996937595e-06,1,0.9991274062420283,0.0008514773260457479,0.0008725937579716625,0.0008514773263737775,1.0
4,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0005,0.004372573363977195,1.124054849351464e-05,1,0.994802208345158,0.000983517571508532,0.005197791654842021,0.0009835175699361,1.0
5,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0006,0.004078919324942367,1.0485653791625622e-05,1,0.995114168557323,0.0009504068377779979,0.004885831442676958,0.0009504068391700507,1.0
6,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0007,0.004114984319095362,1.0605629688390107e-05,1,0.9950966557950038,0.0009564356818176654,0.004903344204996163,0.0009564356833844926,1.0
7,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0008,0.0028293849651035456,7.292229291503984e-06,1,0.9973063510862881,0.0007927751741071114,0.0026936489137119324,0.0007927751737353391,1.0
8,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0009,0.0041682274569441406,1.0742854270474589e-05,1,0.9927579046371824,0.000960340780381467,0.007242095362817613,0.0009603407809980992,1.0
9,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0010,0.004321332868659094,1.113745584705952e-05,1,0.996443816269735,0.000978800792939275,0.0035561837302650057,0.0009788007922119958,1.0
10,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0011,0.0037515218819009644,9.668870829641661e-06,1,0.9916986459329925,0.0009117359836741934,0.008301354067007494,0.0009117359828672654,1.0
11,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0012,0.0045170633856017935,1.1641915942272663e-05,1,0.9963846736886532,0.0009998414344067445,0.003615326311346756,0.0009998414335356477,1.0
12,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0013,0.007154846852979766,1.839292250123333e-05,1,0.9819603643542248,0.001257386136144833,0.018039635645775154,0.0012573861352892892,1.0
13,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0014,0.004605408539266574,1.1869609637284984e-05,1,0.9858931327519166,0.0010091075422314086,0.01410686724808341,0.0010091075435372523,1.0
14,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0015,0.007073964038318719,1.823186607814103e-05,1,0.979019601808039,0.001250912270326652,0.02098039819196096,0.0012509122691639126,1.0
15,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0016,0.006359569064714347,1.6390641919366875e-05,1,0.9706063344223963,0.0011858479010512855,0.0293936655776037,0.0011858479011552195,1.0
16,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0017,0.009772981959054084,2.518809783261362e-05,1,0.9613669069586992,0.0014710343580858654,0.0386330930413008,0.0014710343577850748,1.0
17,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0018,0.008750069978693613,2.2551726749210343e-05,1,0.9535496904009348,0.001394508365439959,0.046450309599065154,0.0013945083656500682,1.0
18,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0019,0.010405290431602968,2.6817758844337547e-05,1,0.94324519869096,0.0015167515442104042,0.05675480130903998,0.0015167515440281877,1.0
19,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0020,0.011233301321681769,2.8951807530107654e-05,1,0.9363604645888755,0.0015802150831264194,0.06363953541112455,0.0015802150812888566,1.0
20,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0021,0.017049623344654007,4.394232820787115e-05,1,0.9195222376888315,0.0019431951266380538,0.08047776231116854,0.0019431951252513718,1.0
21,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0022,0.01598963486745536,4.121039914292618e-05,1,0.9060727209382894,0.0018830710256488505,0.09392727906171061,0.0018830710255386756,1.0
22,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0023,0.030443943440840057,7.846377175474241e-05,1,0.8797792944511269,0.002599306028772557,0.1202207055488731,0.002599306027833202,1.0
23,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0024,0.025348762552391126,6.533186224843074e-05,1,0.8603227979850754,0.00236936191526335,0.13967720201492462,0.0023693619195280613,1.0
24,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0025,0.037987478371292176,9.790587209095921e-05,1,0.8317763817835571,0.002904093233439779,0.16822361821644294,0.0029040932290942813,1.0
25,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0026,0.0407005203980969,0.00010516930335425556,1,0.8097343604364604,0.00301247673767308,0.1902656395635396,0.003012476733756032,1.0
26,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0027,0.06412596575011306,0.00016527310760338417,1,0.766269315716759,0.0037681869245178266,0.23373068428324095,0.0037681869211610504,1.0
27,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0028,0.0695807967691529,0.00017933195043596107,1,0.7214489365643817,0.003920030876942216,0.2785510634356183,0.003920030871530131,1.0
28,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0029,0.07314698480870173,0.00018852315672345806,1,0.6661442013436549,0.0040099039311652755,0.33385579865634507,0.004009903921086741,1.0
29,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0030,0.10273310202285202,0.0002647760361413712,1,0.591762291638291,0.004766211495119289,0.40823770836170903,0.004766211507135195,1.0
30,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0031,0.13454959942690103,0.00034677731811056967,1,0.5010807191508845,0.005458519576623587,0.4989192808491155,0.005458519562903997,1.0
31,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0032,0.15730429656947406,0.00040542344476668575,1,0.40150070043445485,0.00590525157238953,0.5984992995655452,0.005905251594007892,1.0
32,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0033,0.1469991201478269,0.00037886371172120336,1,0.300205102708753,0.005699184200323218,0.699794897291247,0.005699184225843196,1.0
33,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0034,0.09449652200439866,0.00024292165039691173,1,0.21921967206351017,0.0045611337882076166,0.7807803279364898,0.00456113381653423,1.0
34,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0035,0.05550894880588743,0.00014306430104610163,1,0.14673031098460543,0.0035018534621950293,0.8532696890153946,0.0035018534676917895,1.0
